Comentario,Nota,sentimento
psicanálise filme de tribunal 2 em 1 cheio de assunto tá louco,4.0,positivo
TV,0.0,
El dialogo final de Orson Welles como siempre espléndido,4.5,positivo
Pretty gripping,4.0,positivo
Orson Welles.,4.5,positivo
liked it :),0.0,
"judd estava apaixonado o bastante para aceitar cometer um crime e ainda por cima proteger seu namoradinho, simplesmente gay.",4.0,positivo
o monólogo do Welles no final me pegou de jeito,4.0,positivo
"Los protagonistas, inquietantes y amorales, se creen súper hombres de Nietzsche. Ello les lleva a experimentar y cometer crímenes. Luego viene una buena investigación criminal y al final irrumpe Orson Welles con un gran discurso. 
Esas gafas de pasta…",4.0,positivo
"Lección magistral de dirección de actores y tremendo pulso narrativo y formal de Fleischer.
El alegato final del abogado que encarna Orson Welles es de una altura tremenda.
Muy recomendable.",4.0,positivo
"La fotografía en Blanco y Negro representando el Chicago de los años 20 y el formato en Cinemascope;
La pareja de protagonistas, dos muchachos jóvenes, ricos y muy inteligentes que se proponen cometer un asesinato como un simple reto intelectual;
Las similitudes con ""Rope"" de Hitchcock;
El protagonista amante de la ornitología que recuerda al Norman Bates de ""Psycho"";
Las gafas del asesino dejadas sin querer en el escenario del crimen cuando dejan en una alcantarilla el cadáver del niño…",4.5,positivo
Je n'arrêtais pas de penser à la prothèse nasale d'Orson Welles,0.0,
Incroyable monologue d'Orson Welles.,0.0,
"Orson Welles aparece y es la Voz de Dios 💖
(y en 35mm tan brillante como la plata) 🎞",0.0,
"Richard Fleischer nos obsequia con uno de sus mejores trabajos, un gran drama partido en dos partes bien diferenciadas en la primera explora la mente de un par de sociópatas, Judd Steiner (Dean Stockwell) y Arthur Straus (Bradford Dillman), dos amigos pertenecientes a dos acomodadas familias que se creen por encima del bien y de mal, creen tener una mente superior al resto y para demostrarlo asesinaran a un chico, en esto recuerda bastante al film de Hitchcock “La soga”, en el relato subyace una relación de homosexualidad entre ellos que parece ser lo que les hace odiar al mundo, donde hay un trato de dominación, de judd hacia Andy en lo que también evoca a la historia real novelada por Truman Capote “A sangre fría”, a su vez llevada al cine de forma magistral por Richard Brooks, en su segunda parte el protagonista absoluto es el genial Orson Welles, un “Dios” del séptimo arte que compone a uno de los abogados más carismáticos de la historia del cine, Jonathan Wilk, un agnóstico que suelta esta descomunal frase <Toda una vida dudas y preguntas no significan haber llegado a ninguna conclusión>, está en contra de la pena de muerte, Welles se apodera de la pantalla con su personalidad arrolladora, una colosal interpretación que tienen su glorioso zenit en el alegato final ante el jurado, un discurso magistral de los que emocionan y te mueven a la reflexión, no te dejan inmune. Recomendable a los que gusten de muy buenos dramas judiciales de calado, aún sin llegar a genialidades vistas en otras pelis judiciales, aunque bien como conseguida. 8/10.",4.0,positivo
"Richard Fleicher raconte qu'il a du lutter contre Welles pour obtenir une performance tout en retenu, les répliques étant presque murmurées par moment. Il savait que le charisme de Welles n'avait nullement besoin de grandiloquence. Sa seule présence suffit à en imposer. Ce jeu contenu, cette colère maitrisée de l'humaniste doublée d'une mise en scène très fluide lors des séquences de procès rend sa prestation particulièrement touchante. Dean Stockwell est impérial également en fils de bonne famille, parfait inadapté social,…",0.0,
everybody wanna be leopold & loeb........😒😒😒,2.5,negativo
"Clasicazo de 1959. Asesinato, juicio y alegato de Orson Welles contra la pena de muerte. De esas obras que se marcan a fuego en la mente. La recomiendo encarrecidamente!!!",4.0,positivo
"Impresionante por varias razones. Desollar de manera magistral el proceso de creación del crimen perfecto y la ejecución por parte de los criminales, mostrar de manera loable el proceso policial con los interrogatorios por separado de cada uno de ellos, y la indudable calidad en la parte final con el juicio comandado por ese enorme abogado defensor y una alegato final en contra de la pena de muerte por parte de Orson Welles magistral. Fleischer y sus obras maestras.",5.0,positivo
"Fantástica intriga de la mano de Richard Fleischer. Durante más de una hora, la dirección roza la perfección. El cara a cara entre hermanos (contrapicado holandés para uno, plano medio normal para el otro), la elipsis reflejada en las gafas, etc. Una lección magistral en cada plano.
Los actores, además, están en estado de gracia, aunque el plato fuerte es Orson Welles, claro. Francamente comedido (para bien). Su duelo con E. G. Marshall es impagable.
Las únicas pegas que puedo ponerle son manías mías con el guion. A la relación entre ambos protagonistas (subyace una atracción sexual) y al alegato contra la pena de muerte les falta un poco de sutileza. Además, los temas de la indagación de la locura y los tropos, ejem, freudianos me resultan un tanto cargantes y anticuados (que no antiguos). Como decía, manías mías.",4.5,positivo
"“Compulsion” (so der Originaltitel) ist ein 1959 entstandener Thriller mit Dean Stockwell, Bradford Dillman, Orson Welles und E. G. Marshall. Regie: Richard Fleischer.
Der Film basiert auf dem Leopold and Loeb Mordfall aus den mittleren 20er Jahren. Zwei hochintelligente junge Studenten, die Theorien von Darwin und Nietzsche in den falschen Kopf bekommen hatten, sich den Mitmenschen gegenueber ueberlegen fuehlten, die daran glaubten, jemanden von denen zu toeten sei belanglos. Sie toeteten einen 14 jaehrigen Jungen nur um zu beweisen das sie einen perfekten Mord begehen koennen. Ein Fall der viele Filme beeinflusste, beruehmtestes Beispiel wohl das 1929 Theaterstueck und dessen 1948 entstandene Verfilmung von Alfred Hitchcock. Einige werden sich vielleicht auch noch an den (fuerchterlich schlechten) Sandra Bullock Film „Murder by Numbers“ (2002) erinnern.
Dieser Film hier, der basiert auf einem Roman ueber den Fall. Es geht darin nicht nur um den Ablauf des Verbrechens, sondern im letzten Akt ausschliesslich um das Gerichtsverfahren.
Das ganze ist ziemlich gut gelungen, der Film ist sehr sehenswert! Das Leben der beiden wird uns sehr trocken gezeigt, fast so kalt wie es die beiden waren. Stockwell und Dillman sind vorzueglich, Dillman erinnert mich irgendwie an Daniel Day Lewis. Sie begehen also den Mord (den wir nicht sehen), und die Polizei beginnt ihre Ermittlungen. Schon bald stellt sich heraus das ihr Verbrechen gar nicht perfekt war, und der Staatsanwalt taucht auf - E. G. Marshall in einer dieser Rollen fuer die er gemacht war. Es ist nicht unbedingt spannend, es ist einfach interessant.
Orson Welles. Dessen Name steht im Film an erster Stelle. Dabei taucht er erst im letzten Akt auf und ist nur fuer gut eine halbe Stunde zu sehen. Er spielt den Anwalt der die beiden verteidigt. Und basiert sehr genau auf dem echten Verteidiger der beiden: Clarence Darrow. „Compulsion“ ist der einzige auf dem Fall basierende Film der diese Person beinhandelt, wahrscheinlich weil seine Verteidigung weit mehr war als nur Verteidigung der beiden Moerder. Darrow, ein Atheist, ein liberaler, der gegen die Todesstrafe kaempfte nutzte seine abschliessenden Worte als Anklage gegen die Todesstrafe an sich. 12 Stunden lang redete er. Im Film muss das leider auf gut 20 minuten zusammengefasst werden. Doch es reicht. Welles ist fantastisch, wir sehen ihn hier in der besten Rolle die er in einem Film hatte bei dem er nicht selbst Regie fuehrte. Er im letzten Akt, das ist eine Sternstunde. Die „One Man Band“ gibt wieder alles, wir haengen an seinen Lippen.
Es ist so ;ne Rolle wie fuer ihn gemacht. Grosser Auftritt, im Mittelpunkt. Das liebte Welles. Hinter den Kulissen war alles nicht so leicht. Er noch sauer weil man ihm sein „Touch of Evil“ kaputt gemacht hatte, glaubte trotzdem noch wieder Macht in Hollywood zu bekommen, wollte die Regie des Films, bekam sie nicht. Er zeigte sich dann nicht von seiner besten Seite, Wutausbrueche waren an der Tagesordnung. Doch, und das obwohl unbestaetigt, ist offensichtlich: Er konnte seinen Text bearbeiten, einige Saetze, das ist Welles durch und durch.
So gut der Film insgesamt auch ist, der letzte Akt mit Welles stellt alles in den Schatten. Auch wenn seine Praesenz so stark ist das er die anderen Charaktere ueberschattet, ja, selbst die Story selbst ueberschattet, was letztlich als Schwaeche des Films als Gesamtwerk gesehen ausgelegt werden kann. Seine „Rede“ wurde damals gar auf Schallplatte veroeffentlicht.
""Der Zwang zum Boesen"" ist ein herausragender Film aus dem Hollywood der 50er Jahre. Ein ungeschoenter, kalter Blick, thematisch bis an die damals gesetzten Grenzen gehend, ganz ohne Kitsch, gibt auch nicht die typische Film-Psychologie der einfachen Loesungen. Irgendwie wirkt er sehr ""East Coast"", New York, sowas. Da war man immer etwas freier als in Hollywood.",5.0,positivo
"La primera parte de la película, como crónica negra al estilo de La Soga (ambas pelis se inspiran en el mismo crimen) funciona bastante bien.
La segunda, como drama judicial al estilo de Testigo de cargo, no tanto, por estelar y grandilocuente que sea la aparición de Welles.
A la obra me falta bastante para llegar a ser un clásico atemporal. La aproximación que utilizó Hitchcock, más concisa,libre y centrada en la tensión (el sombrero, el arcón), es mucho más…",2.5,negativo
[33],2.0,negativo
4.0,4.0,positivo
"Excellent. Just excellent.
Orson Welles..need I say more?",5.0,positivo
"Remek forgatókönyv, mesteri rendezés, kiváló alakítások (és még csak nem is Wellesé a legjobb). (10/9 - od)",4.5,positivo
"Esse é um ""puta filme"". Baseado na mesma história de ""Rope"" de Hitchcock, alguns chegam a dizer ser uma sequência do mesmo! Bom, na verdade não é, mas é uma visão da história por outro ângulo, e a participação de Orson Welles abrilhantou o filme!
Boa história, recomendado aos fãs de filmes de tribunal!",4.0,positivo
"La vimos con mi mamá a eso de las 9 de la mañana, desayunando mientras yo hacía cosas de la facu. Me enganché tanto que terminé haciendo nada.
Qué pedazo de película. Al otro día la vimos de vuelta y me enganché igual. Peliculón. Muy infravalorada, lamentable.",5.0,positivo
"F
Calidad: 7.8
Gusto: 8.0",4.0,positivo
正如其中文译名一样，《朱门孽种》是部奇葩电影。整部片纠缠着各种自相矛盾的价值观，尼采老弗康德、恋母、性甚至于同性SM，几乎所有哲学学派的招牌恨不得都给掺乎进来，最后居然落到了反死刑上，完全无法自圆其说。如果说在如此糟烂的剧本和台词下居然还能看见一点点人物的话，那都是仨演员的功劳。,0.5,negativo
